movie_id,title,genres,release_date,poster_link
767,Harry Potter and the Half-Blood Prince,Adventure|Fantasy,2009-07-15,https://image.tmdb.org/t/p/original/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg
12444,Harry Potter and the Deathly Hallows: Part 1,Adventure|Fantasy,2010-11-17,https://image.tmdb.org/t/p/original/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg
581528,"The Gangster, the Cop, the Devil",Crime|Action|Thriller,2019-05-15,https://image.tmdb.org/t/p/original/oHlM4abRm6BzrRcz9Nup1uidw9H.jpg
939335,Muzzle,Action|Crime|Drama|Thriller,2023-09-29,https://image.tmdb.org/t/p/original/AsM1H8DfaNo7bRu4q76MaVRRbIY.jpg
879957,Wyrmwood: Apocalypse,Action|Horror,2022-02-10,https://image.tmdb.org/t/p/original/5FejR8s7E1BYkWRFZ9sPTNHKkxT.jpg
851644,20th Century Girl,Romance|Drama,2022-10-06,https://image.tmdb.org/t/p/original/od22ftNnyag0TTxcnJhlsu3aLoU.jpg
492258,Cocaine Godmother,Drama|TV Movie|Crime,2017-11-12,https://image.tmdb.org/t/p/original/BYD6DT0dwtLFXkuCk7SqfAZrqv.jpg
19995,Avatar,Action|Adventure|Fantasy|Science Fiction,2009-12-15,https://image.tmdb.org/t/p/original/kyeqWdyUXW608qlYkRqosgbbJyK.jpg
510318,Buñuel in the Labyrinth of the Turtles,Animation|Drama|History,2019-04-18,https://image.tmdb.org/t/p/original/oHYRYgEcpjD6tXRxMr5xisjJCU4.jpg
1032664,The Winter Witch,Horror,2022-12-26,https://image.tmdb.org/t/p/original/qMT9xKQny3eCFrYpVE2oqM6GKMK.jpg
13313,Beauty and the Beast: The Enchanted Christmas,Animation|Family|Fantasy,1997-11-11,https://image.tmdb.org/t/p/original/qxtpbcbf6KEIHzLetWZOVGJT2lv.jpg
781732,Animal,Action|Crime|Drama,2023-12-01,https://image.tmdb.org/t/p/original/iuFu6PvDUPhOhpyZqE14emxUfpH.jpg
508947,Turning Red,Animation|Family|Comedy|Fantasy,2022-03-10,https://image.tmdb.org/t/p/original/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg
675,Harry Potter and the Order of the Phoenix,Adventure|Fantasy,2007-07-08,https://image.tmdb.org/t/p/original/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg
238,The Godfather,Drama|Crime,1972-03-14,https://image.tmdb.org/t/p/original/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
853387,Lord of Misrule,Horror,2023-10-26,https://image.tmdb.org/t/p/original/eCNJuGsCNdf2yf4F3UcDg1WZTbo.jpg
447362,Life in a Year,Drama|Romance,2020-11-27,https://image.tmdb.org/t/p/original/bP7u19opmHXYeTCUwGjlLldmUMc.jpg
1059126,Bring Him to Me,Crime|Thriller,2023-11-02,https://image.tmdb.org/t/p/original/5l6k6oxclDBpAZOkCSs2V6F3Ldf.jpg
759213,Captive,Thriller|Horror,2020-10-30,https://image.tmdb.org/t/p/original/8ofszdXTti3my1RGvyruu3rl9Hc.jpg
93456,Despicable Me 2,Animation|Comedy|Family,2013-06-26,https://image.tmdb.org/t/p/original/5Fh4NdoEnCjCK9wLjdJ9DJNFl2b.jpg
1954,The Butterfly Effect,Science Fiction|Thriller,2004-01-17,https://image.tmdb.org/t/p/original/ea5iv7TWMh18fOKoRGgmtcg85Gx.jpg
438695,Sing 2,Animation|Family|Music|Comedy,2021-12-01,https://image.tmdb.org/t/p/original/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg
383498,Deadpool 2,Action|Comedy|Adventure,2018-05-10,https://image.tmdb.org/t/p/original/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg
9453,Caligula,Drama|History|Romance,1979-08-14,https://image.tmdb.org/t/p/original/4N4l873TVreuaR4FVpvaL2gfQ0N.jpg
744276,After Ever Happy,Romance|Drama,2022-08-24,https://image.tmdb.org/t/p/original/moogpu8rNkEjTgFyLXwhPghft5w.jpg
